YEAR;MO;DY;HR;WS50M;DATE
2024;1;25;3;4.53;25/01/2024
2024;1;25;4;4.29;25/01/2024
2024;1;25;5;3.99;25/01/2024
2024;1;25;6;3.9;25/01/2024
2024;1;25;7;3.83;25/01/2024
2024;1;25;8;3.97;25/01/2024
2024;1;25;9;3.99;25/01/2024
2024;1;25;10;4.31;25/01/2024
2024;1;25;11;4.77;25/01/2024
2024;1;25;12;4.91;25/01/2024
2024;1;25;13;4.81;25/01/2024
2024;1;25;14;4.71;25/01/2024
2024;1;25;15;4.66;25/01/2024
2024;1;25;16;4.72;25/01/2024
2024;1;25;17;5.05;25/01/2024
2024;1;25;18;5.1;25/01/2024
2024;1;25;19;4.66;25/01/2024
2024;1;25;20;4.39;25/01/2024
2024;1;25;21;4.37;25/01/2024
2024;1;25;22;4.39;25/01/2024
2024;1;25;23;4.24;25/01/2024
2024;1;26;0;4.26;26/01/2024
2024;1;26;1;4.3;26/01/2024
2024;1;26;2;4.34;26/01/2024
2024;1;26;3;4.37;26/01/2024
2024;1;26;4;4.38;26/01/2024
2024;1;26;5;4.53;26/01/2024
2024;1;26;6;5.12;26/01/2024
2024;1;26;7;5.82;26/01/2024
2024;1;26;8;6.23;26/01/2024
2024;1;26;9;6.31;26/01/2024
2024;1;26;10;5.97;26/01/2024
2024;1;26;11;5.45;26/01/2024
2024;1;26;12;5.06;26/01/2024
2024;1;26;13;4.82;26/01/2024
2024;1;26;14;4.67;26/01/2024
2024;1;26;15;4.69;26/01/2024
2024;1;26;16;4.69;26/01/2024
2024;1;26;17;4.65;26/01/2024
2024;1;26;18;4.78;26/01/2024
2024;1;26;19;4.8;26/01/2024
2024;1;26;20;4.7;26/01/2024
2024;1;26;21;4.55;26/01/2024
2024;1;26;22;4.52;26/01/2024
2024;1;26;23;4.54;26/01/2024
2024;1;27;0;4.57;27/01/2024
2024;1;27;1;4.69;27/01/2024
2024;1;27;2;4.72;27/01/2024
2024;1;27;3;4.58;27/01/2024
2024;1;27;4;4.27;27/01/2024
2024;1;27;5;3.81;27/01/2024
2024;1;27;6;3.28;27/01/2024
2024;1;27;7;2.73;27/01/2024
2024;1;27;8;2.46;27/01/2024
2024;1;27;9;2.35;27/01/2024
2024;1;27;10;2.55;27/01/2024
2024;1;27;11;2.85;27/01/2024
2024;1;27;12;3.1;27/01/2024
2024;1;27;13;3.06;27/01/2024
2024;1;27;14;3.01;27/01/2024
2024;1;27;15;3.25;27/01/2024
2024;1;27;16;3.41;27/01/2024
2024;1;27;17;3.42;27/01/2024
2024;1;27;18;3.37;27/01/2024
2024;1;27;19;3.13;27/01/2024
2024;1;27;20;3.11;27/01/2024
2024;1;27;21;3.04;27/01/2024
2024;1;27;22;2.9;27/01/2024
2024;1;27;23;3.07;27/01/2024
2024;1;28;0;3.29;28/01/2024
2024;1;28;1;3.37;28/01/2024
2024;1;28;2;3.45;28/01/2024
2024;1;28;3;3.43;28/01/2024
2024;1;28;4;3.46;28/01/2024
2024;1;28;5;3.34;28/01/2024
2024;1;28;6;3.11;28/01/2024
2024;1;28;7;2.93;28/01/2024
2024;1;28;8;2.5;28/01/2024
2024;1;28;9;2.31;28/01/2024
2024;1;28;10;2.59;28/01/2024
2024;1;28;11;3.12;28/01/2024
2024;1;28;12;3.58;28/01/2024
2024;1;28;13;3.98;28/01/2024
2024;1;28;14;4.34;28/01/2024
2024;1;28;15;4.55;28/01/2024
2024;1;28;16;4.48;28/01/2024
2024;1;28;17;4.36;28/01/2024
2024;1;28;18;4.21;28/01/2024
2024;1;28;19;3.93;28/01/2024
2024;1;28;20;3.7;28/01/2024
2024;1;28;21;3.66;28/01/2024
2024;1;28;22;3.73;28/01/2024
2024;1;28;23;3.78;28/01/2024
2024;1;29;0;3.6;29/01/2024
2024;1;29;1;3.39;29/01/2024
2024;1;29;2;3.08;29/01/2024
2024;1;29;3;2.87;29/01/2024
2024;1;29;4;2.71;29/01/2024
2024;1;29;5;2.55;29/01/2024
2024;1;29;6;2.48;29/01/2024
2024;1;29;7;2.49;29/01/2024
2024;1;29;8;2.38;29/01/2024
2024;1;29;9;2.41;29/01/2024
2024;1;29;10;2.66;29/01/2024
2024;1;29;11;2.96;29/01/2024
2024;1;29;12;3.3;29/01/2024
2024;1;29;13;3.67;29/01/2024
2024;1;29;14;4.03;29/01/2024
2024;1;29;15;4.19;29/01/2024
2024;1;29;16;4.16;29/01/2024
2024;1;29;17;4.08;29/01/2024
2024;1;29;18;4.11;29/01/2024
2024;1;29;19;3.98;29/01/2024
2024;1;29;20;3.76;29/01/2024
2024;1;29;21;3.56;29/01/2024
